Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
MediEvil: Resurrection,Adventure,PSP,Sony Computer Entertainment,SCEE,N/A,0.82m,0.19m,0.42m,N/A,0.22m,13th Sep 05
The Walking Dead: A Telltale Games Series,Adventure,PS3,Telltale Games,Telltale Games,N/A,0.82m,0.40m,0.25m,0.03m,0.14m,20th Nov 12
Professor Layton vs Ace Attorney,Adventure,3DS,Nintendo,Level 5,N/A,0.82m,0.20m,0.27m,0.30m,0.04m,29th Aug 14
Kamaitachi no Yoru,Adventure,SNES,ChunSoft,ChunSoft,N/A,0.81m,N/A,N/A,0.81m,N/A,25th Nov 94
The Legend of Zelda: Four Swords Adventures,Adventure,GC,Nintendo,Nintendo EAD,N/A,0.81m,0.63m,0.16m,N/A,0.02m,07th Jun 04
Yakuza 6: The Song of Life,Adventure,PS4,Sega,Sega,0.80m,N/A,N/A,N/A,N/A,N/A,17th Apr 18
Prince of Persia: Warrior Within,Adventure,XB,Ubisoft,Ubisoft Montreal,N/A,0.80m,0.48m,0.28m,N/A,0.04m,30th Nov 04
The Godfather II,Adventure,X360,Electronic Arts,EA Redwood Shores,N/A,0.79m,0.47m,0.23m,0.01m,0.08m,07th Apr 09
Drawn to Life,Adventure,DS,THQ,5TH Cell,N/A,0.78m,0.71m,0.01m,N/A,0.06m,10th Sep 07
Minecraft: Story Mode,Adventure,XOne,Mojang,Telltale Games,N/A,0.77m,0.46m,0.24m,N/A,0.07m,27th Oct 15
That's So Raven,Adventure,GBA,Buena Vista,Disney Interactive,N/A,0.76m,0.54m,0.20m,N/A,0.01m,12th Oct 04
The Walking Dead: A Telltale Games Series,Adventure,X360,Telltale Games,Telltale Games,N/A,0.76m,0.55m,0.13m,N/A,0.07m,21st Nov 12
Broken Sword II: The Smoking Mirror,Adventure,All,Virgin Interactive,Revolution Software,0.75m,N/A,N/A,N/A,N/A,N/A,17th Oct 97
Leisure Suit Larry: Love for Sail!,Adventure,All,Sierra Online,Sierra On-Line,0.75m,N/A,N/A,N/A,N/A,N/A,26th Nov 96
Raving Rabbids: Travel in Time,Adventure,Wii,Ubisoft,Ubisoft Paris,N/A,0.75m,0.21m,0.46m,N/A,0.08m,21st Nov 10
Deponia,Adventure,PC,Daedalic Entertainment,Daedalic Entertainment,0.74m,N/A,N/A,N/A,N/A,N/A,27th Jan 12
The Godfather II,Adventure,PS3,Electronic Arts,EA Redwood Shores,N/A,0.74m,0.41m,0.21m,0.01m,0.10m,07th Apr 09
iCarly,Adventure,DS,Activision,"Human Soft, Inc.",N/A,0.73m,0.67m,0.01m,N/A,0.05m,27th Oct 09
My Little Pony: Pinkie Pie's Party,Adventure,DS,THQ,ImaginEngine Corp.,N/A,0.73m,0.67m,N/A,N/A,0.06m,22nd Sep 08
Yakuza 2,Adventure,PS2,Sega,Sega,0.72m,N/A,N/A,N/A,N/A,N/A,09th Sep 08
LEGO Harry Potter: Years 1-4,Adventure,PSP,Warner Bros. Interactive,Traveller's Tales,N/A,0.71m,0.14m,0.38m,N/A,0.19m,29th Jun 10
Ace Attorney Investigations: Miles Edgeworth,Adventure,DS,Capcom,Capcom,N/A,0.70m,0.23m,0.14m,0.30m,0.04m,16th Feb 10
Viscera Cleanup Detail,Adventure,PC,Unknown,RuneStorm,0.70m,N/A,N/A,N/A,N/A,N/A,N/A
Egypt,Adventure,Series,Cryo Interactive,Cryo Interactive,0.70m,N/A,N/A,N/A,N/A,N/A,01st Jan 97
Gone Home,Adventure,All,The Fullbright Company,The Fullbright Company,0.70m,N/A,N/A,N/A,N/A,N/A,15th Aug 13
Kameo: Elements of Power,Adventure,X360,Microsoft Game Studios,Rare Ltd.,0.70m,N/A,N/A,N/A,N/A,N/A,07th Nov 05
Hannah Montana: The Movie,Adventure,DS,Disney Interactive Studios,n-Space,N/A,0.70m,0.38m,0.25m,N/A,0.07m,07th Apr 09
Classic NES Series: Zelda II: The Adventure of Link,Adventure,GBA,Nintendo,Nintendo EAD,N/A,0.70m,0.37m,0.14m,0.17m,0.01m,25th Oct 04
Harry Potter and the Chamber of Secrets,Adventure,GC,Electronic Arts,Eurocom Entertainment Software,N/A,0.69m,0.53m,0.14m,N/A,0.02m,14th Nov 02
Prince of Persia: The Two Thrones,Adventure,PS2,Ubisoft,Ubisoft Montreal,N/A,0.68m,0.57m,0.02m,N/A,0.09m,01st Dec 05
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,GBA,Buena Vista,Amaze Entertainment,N/A,0.67m,0.48m,0.18m,N/A,0.01m,14th Nov 05
Hidden Objects: Mystery Stories,Adventure,DS,Navarre Corp,cerasus.media GmbH,N/A,0.66m,0.18m,0.43m,N/A,0.05m,20th Jul 10
Strawberry Shortcake: Summertime Adventure,Adventure,GBA,Majesco,Gorilla Systems,N/A,0.66m,0.47m,0.18m,N/A,0.01m,16th Nov 04
Club Penguin: Elite Penguin Force - Herbert's Revenge,Adventure,DS,Disney Interactive Studios,1st Playable Productions,N/A,0.66m,0.39m,0.21m,N/A,0.06m,25th May 10
Harry Potter and the Goblet of Fire,Adventure,PS2,Electronic Arts,Electronic Arts,N/A,0.65m,0.54m,0.02m,N/A,0.09m,08th Nov 05
Yakuza Zero,Adventure,PS4,Sega,Sega,N/A,0.65m,0.22m,0.16m,0.19m,0.08m,24th Jan 17
Drawn to Life: The Next Chapter,Adventure,DS,THQ,5TH Cell,N/A,0.65m,0.44m,0.14m,N/A,0.06m,27th Oct 09
Up,Adventure,DS,THQ,THQ,N/A,0.64m,0.30m,0.27m,N/A,0.07m,26th May 09
The Descendant,Adventure,PC,Unknown,Gaming Corps AB,0.63m,N/A,N/A,N/A,N/A,N/A,N/A
Condemned 2: Bloodshot,Adventure,X360,Sega,Monolith Productions,N/A,0.63m,0.38m,0.19m,N/A,0.06m,11th Mar 08
Bolt,Adventure,DS,Disney Interactive Studios,Avalanche Software,N/A,0.62m,0.35m,0.21m,N/A,0.06m,18th Nov 08
Tomb Raider III: Adventures of Lara Croft,Adventure,PC,Eidos Interactive,Core Design Ltd.,N/A,0.62m,0.59m,0.03m,N/A,N/A,30th Nov 98
Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,DS,Capcom,Capcom,N/A,0.62m,0.30m,0.03m,0.25m,0.03m,23rd Oct 07
SpongeBob's Atlantis SquarePantis,Adventure,Wii,THQ,Blitz Games,N/A,0.62m,0.56m,0.00m,N/A,0.05m,12th Nov 07
Small Soldiers,Adventure,PS,Electronic Arts,DreamWorks Interactive,N/A,0.61m,0.34m,0.23m,N/A,0.04m,30th Sep 98
Machinarium,Adventure,PC,Amanita Design,Amanita Design,0.61m,N/A,N/A,N/A,N/A,N/A,16th Oct 09
Harry Potter and the Goblet of Fire,Adventure,GBA,Electronic Arts,Magic Pockets,N/A,0.61m,0.44m,0.16m,N/A,0.01m,08th Nov 05
L.A. Noire,Adventure,PS4,Rockstar Games,Team Bondi,N/A,0.60m,0.18m,0.32m,N/A,0.10m,14th Nov 17
The Golden Compass,Adventure,DS,Sega,Shiny Entertainment,N/A,0.60m,0.28m,0.25m,N/A,0.06m,04th Dec 07
The Golden Compass,Adventure,Wii,Sega,Shiny Entertainment,N/A,0.60m,0.26m,0.28m,N/A,0.07m,04th Dec 07
Omikron: The Nomad Soul,Adventure,All,Eidos Interactive,Quantic Dream,0.60m,N/A,N/A,N/A,N/A,N/A,05th Nov 99
Ring: The Legend of the Nibelungen,Adventure,All,Red Orb Entertainment,Arxel Tribe,0.60m,N/A,N/A,N/A,N/A,N/A,05th Jul 99
Runaway: A Road Adventure,Adventure,PC,Tri Synergy,Pendulo Studios,0.60m,N/A,N/A,N/A,N/A,N/A,28th Aug 03
Syberia II,Adventure,All,MC2 Entertainment,Microids,0.60m,N/A,N/A,N/A,N/A,N/A,30th Mar 04
VA-11 HALL-A,Adventure,All,Ysbryd Games,Sukeban Games,0.60m,N/A,N/A,N/A,N/A,N/A,21st Jun 16
Game of Thrones: A Telltale Games Series,Adventure,PC,Telltale Games,Telltale Games,0.60m,N/A,N/A,N/A,N/A,N/A,02nd Dec 14
Xena: Warrior Princess,Adventure,PS,Electronic Arts,VU Games,N/A,0.60m,0.33m,0.23m,N/A,0.04m,30th Sep 99
Tales from the Borderlands,Adventure,PC,Telltale Games,Telltale Games,0.59m,N/A,N/A,N/A,N/A,N/A,25th Nov 14
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PSP,LucasArts,Traveller's Tales,N/A,0.59m,0.21m,0.24m,N/A,0.14m,17th Nov 09
Yakuza 5,Adventure,PS3,Sega,Sega,0.59m,N/A,N/A,N/A,N/A,N/A,08th Dec 15
Silent Hill: Shattered Memories,Adventure,PS2,Konami,Climax Group,N/A,0.59m,0.13m,0.22m,0.01m,0.23m,19th Jan 10
Hidden Agenda,Adventure,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,N/A,0.59m,0.08m,0.42m,N/A,0.09m,24th Oct 17
Alice: Madness Returns,Adventure,PS3,Electronic Arts,Spicy Horse,N/A,0.59m,0.22m,0.24m,0.04m,0.08m,14th Jun 11
Prince of Persia: The Two Thrones,Adventure,XB,Ubisoft,Ubisoft Montreal,N/A,0.58m,0.33m,0.22m,N/A,0.03m,01st Dec 05
Shrek 2: Beg for Mercy,Adventure,GBA,Activision,Vicarious Visions,N/A,0.58m,0.42m,0.15m,N/A,0.01m,27th Oct 04
ABZU,Adventure,PC,505 Games,Giant Squid Studios,0.58m,N/A,N/A,N/A,N/A,N/A,02nd Aug 16
Up,Adventure,Wii,THQ,THQ,N/A,0.57m,0.22m,0.29m,N/A,0.06m,26th May 09
Bratz 4 Real,Adventure,DS,THQ,THQ,N/A,0.57m,0.29m,0.22m,N/A,0.06m,05th Nov 07
Bolt,Adventure,Wii,Disney Interactive Studios,Avalanche Software,N/A,0.56m,0.19m,0.31m,N/A,0.06m,18th Nov 08
Yakuza 4,Adventure,PS3,Sega,Sega,0.56m,N/A,N/A,N/A,N/A,N/A,15th Mar 11
Dr. Seuss' The Cat in the Hat,Adventure,PS2,VU Games,Magenta Software,N/A,0.56m,0.27m,0.21m,N/A,0.07m,05th Nov 03
Viscera Cleanup Detail: Santa's Rampage,Adventure,PC,Unknown,RuneStorm,0.56m,N/A,N/A,N/A,N/A,N/A,N/A
Soul Reaver 2,Adventure,PS2,Eidos Interactive,Crystal Dynamics,N/A,0.55m,0.27m,0.21m,N/A,0.07m,31st Oct 01
Sakura Wars,Adventure,SAT,Sega,Overworks,N/A,0.55m,N/A,N/A,0.55m,N/A,27th Sep 96
Batman: Vengeance,Adventure,PS2,Ubisoft,Ubisoft Montreal,N/A,0.55m,0.27m,0.21m,N/A,0.07m,15th Oct 01
Lara Croft and the Guardian of Light,Adventure,PC,Square Enix,Crystal Dynamics,0.55m,N/A,N/A,N/A,N/A,N/A,28th Sep 10
Hotel Dusk: Room 215,Adventure,DS,Nintendo,Cing,N/A,0.54m,0.26m,0.04m,0.22m,0.03m,22nd Jan 07
Monster High: Ghoul Spirit,Adventure,Wii,THQ,THQ,N/A,0.54m,0.42m,0.08m,N/A,0.04m,25th Oct 11
The Hobbit,Adventure,PS2,Sierra Entertainment,Midway Studios - Austin,N/A,0.54m,0.26m,0.20m,N/A,0.07m,11th Nov 03
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",Adventure,SAT,Sega,Sega,N/A,0.53m,N/A,N/A,0.53m,0.00m,04th Apr 98
Clock Tower,Adventure,PS,ASCII Entertainment,Human Entertainment,N/A,0.53m,0.07m,0.05m,0.38m,0.03m,30th Sep 97
Legacy of Kain: Defiance,Adventure,PS2,Eidos Interactive,Crystal Dynamics,N/A,0.53m,0.26m,0.20m,N/A,0.07m,11th Nov 03
Phoenix Wright: Ace Attorney - Justice for All,Adventure,DS,Capcom,Capcom,N/A,0.53m,0.21m,0.04m,0.26m,0.03m,16th Jan 07
The Grinch,Adventure,PS,Konami,Artificial Mind and Movement,N/A,0.52m,0.29m,0.20m,N/A,0.03m,01st Jan 00
The Golden Compass,Adventure,PS2,Sega,Shiny Entertainment,N/A,0.52m,0.13m,0.00m,N/A,0.39m,04th Dec 07
Alien: Isolation,Adventure,XOne,Sega,Creative Assembly,N/A,0.52m,0.23m,0.25m,N/A,0.04m,07th Oct 14
That's So Raven 2: Supernatural Style,Adventure,GBA,Buena Vista,A2M,N/A,0.52m,0.37m,0.14m,N/A,0.01m,21st Aug 05
Grim Fandango Remastered,Adventure,PC,Unknown,Double Fine Productions,0.52m,N/A,N/A,N/A,N/A,N/A,N/A
Harry Potter and the Prisoner of Azkaban,Adventure,GBA,Electronic Arts,Griptonite Games,N/A,0.52m,0.37m,0.14m,N/A,0.01m,25th May 04
Alice in Wonderland,Adventure,Wii,Disney Interactive Studios,Etranges Libellules,N/A,0.51m,0.25m,0.21m,N/A,0.05m,02nd Mar 10
Yakuza,Adventure,PS2,Sega,Sega,0.51m,N/A,N/A,N/A,N/A,N/A,05th Sep 06
Kingdom: New Lands,Adventure,PC,Unknown,Noio,0.51m,N/A,N/A,N/A,N/A,N/A,N/A
Silent Hill 4: The Room,Adventure,PS2,Konami,KCET,N/A,0.51m,0.25m,0.19m,N/A,0.06m,07th Sep 04
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure,DS,Activision,Black Lantern Studios,N/A,0.51m,0.12m,0.33m,N/A,0.06m,03rd Nov 09
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,GBA,THQ,Tantalus Interactive,N/A,0.50m,0.36m,0.13m,N/A,0.01m,13th Sep 04
Rooms: The Main Building,Adventure,DS,Hudson Soft,HandMade Game,N/A,0.50m,0.10m,0.35m,0.01m,0.05m,23rd Mar 10
Avatar: The Last Airbender,Adventure,GC,THQ,AWE Games,N/A,0.50m,0.39m,0.10m,N/A,0.01m,10th Oct 06
13 Sentinels: Aegis Rim,Adventure,PS4,Atlus,Vanillaware,0.50m,N/A,N/A,N/A,N/A,N/A,22nd Sep 20
Ankh,Adventure,Series,bhv Software,DECK13 Interactive,0.50m,N/A,N/A,N/A,N/A,N/A,31st Aug 06
Broken Sword: The Shadow of the Templars,Adventure,PS,THQ,Revolution Software Ltd.,0.50m,N/A,N/A,N/A,N/A,N/A,01st Mar 98
Core Keeper,Adventure,PC,Fireshine Games,Pugstorm Game Studios,0.50m,N/A,N/A,N/A,N/A,N/A,08th Mar 22
CSI: Crime Scene Investigation,Adventure,PC,Ubisoft,369 Interactive,0.50m,N/A,N/A,N/A,N/A,N/A,26th Mar 03
Dark Earth,Adventure,PC,Microprose,Kalisto,0.50m,N/A,N/A,N/A,N/A,N/A,30th Sep 97
Dreamfall Chapters,Adventure,All,Deep Silver,Red Thread Games,0.50m,N/A,N/A,N/A,N/A,N/A,21st Oct 14
Freddy Pharkas: Frontier Pharmacist,Adventure,All,Sierra Online,Sierra On-Line,0.50m,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Grim Fandango,Adventure,PC,LucasArts,LucasArts,0.50m,N/A,N/A,N/A,N/A,N/A,30th Sep 98
House Party,Adventure,PC,Unknown,"Eek! Games, LLC",0.50m,N/A,N/A,N/A,N/A,N/A,N/A
Iron Helix,Adventure,All,Spectrum Holobyte,Drew Pictures,0.50m,N/A,N/A,N/A,N/A,N/A,01st Jan 93
King's Quest V: Absence Makes the Heart Go Yonder!,Adventure,All,Sierra Online,Sierra On-Line,0.50m,N/A,N/A,N/A,N/A,N/A,09th Nov 90
Sherlock Holmes: The Case of the Silver Earring,Adventure,PC,Unknown,Frogwares,0.50m,N/A,N/A,N/A,N/A,N/A,N/A
Sherlock Holmes: The Mystery of the Mummy,Adventure,PC,Unknown,Frogwares,0.50m,N/A,N/A,N/A,N/A,N/A,N/A
Star Trek: The Next Generation – A Final Unity,Adventure,All,Spectrum Holobyte,Spectrum Holobyte,0.50m,N/A,N/A,N/A,N/A,N/A,31st May 95
Still Life,Adventure,Series,The Adventure Company,Microids,0.50m,N/A,N/A,N/A,N/A,N/A,27th Feb 03
Syberia,Adventure,All,The Adventure Company,Microids,0.50m,N/A,N/A,N/A,N/A,N/A,01st Sep 02
The 11th Hour,Adventure,PC,Virgin Interactive,Trilobyte,0.50m,N/A,N/A,N/A,N/A,N/A,30th Nov 95
The Black Mirror,Adventure,PC,The Adventure Company,Future Games,0.50m,N/A,N/A,N/A,N/A,N/A,20th Oct 03
The Crystal Key,Adventure,PC,DreamCatcher Interactive,DreamCatcher Interactive,0.50m,N/A,N/A,N/A,N/A,N/A,25th Nov 99
The Hobbit (1982),Adventure,All,Melbourne House,Beam Software,0.50m,N/A,N/A,N/A,N/A,N/A,01st Nov 82
The Longest Journey,Adventure,PC,Funcom,Funcom,0.50m,N/A,N/A,N/A,N/A,N/A,16th Nov 00
Uncle Albert,Adventure,Series,Emme Interactive,Lexis Numerique,0.50m,N/A,N/A,N/A,N/A,N/A,01st Jan 98
Versailles 1685,Adventure,PC,Interplay,Cryo Interactive,0.50m,N/A,N/A,N/A,N/A,N/A,30th Jun 97
Yakuza 3,Adventure,PS3,Sega,Sega,0.50m,N/A,N/A,N/A,N/A,N/A,09th Mar 10
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,PS2,THQ,THQ,N/A,0.50m,0.24m,0.19m,N/A,0.06m,13th Sep 04
Alice: Madness Returns,Adventure,X360,Electronic Arts,Spicy Horse,N/A,0.50m,0.27m,0.15m,0.04m,0.04m,14th Jun 11
Scarface: The World is Yours,Adventure,XB,Sierra Entertainment,Radical Entertainment,N/A,0.49m,0.37m,0.11m,N/A,0.02m,08th Oct 06
Alone in the Dark,Adventure,X360,Atari,Eden Studios,N/A,0.49m,0.14m,0.30m,0.00m,0.05m,23rd Jun 08
Ultimate I Spy,Adventure,Wii,Scholastic Inc.,Scholastic Interactive,N/A,0.48m,0.45m,0.00m,N/A,0.03m,29th Oct 08
The Legend of the Mystical Ninja,Adventure,SNES,Konami,Konami,N/A,0.48m,N/A,N/A,0.48m,N/A,01st Feb 92
Destroy All Humans! 2,Adventure,PS2,THQ,Pandemic Studios,N/A,0.48m,0.40m,0.02m,N/A,0.07m,17th Oct 06
Bionic Commando,Adventure,PS3,Capcom,GRIN,0.48m,N/A,N/A,N/A,N/A,N/A,19th May 09
The Walking Dead: A Telltale Games Series,Adventure,PS4,Telltale Games,Telltale Games,N/A,0.48m,0.12m,0.26m,0.03m,0.07m,14th Oct 14
Alice in Wonderland,Adventure,DS,Disney Interactive Studios,Etranges Libellules,N/A,0.48m,0.25m,0.18m,N/A,0.05m,02nd Mar 10
Up,Adventure,PS2,THQ,THQ,N/A,0.48m,0.19m,0.05m,N/A,0.24m,26th May 09
Luigi's Mansion,Adventure,3DS,Nintendo,GREZZO,N/A,0.47m,0.19m,0.16m,0.09m,0.03m,12th Oct 18
ICO,Adventure,PS2,Sony Computer Entertainment,Team ICO,N/A,0.47m,0.23m,0.18m,N/A,0.06m,24th Sep 01
Silent Hill: Downpour,Adventure,PS3,Konami,Konami,N/A,0.47m,0.21m,0.16m,0.04m,0.06m,13th Mar 12
Jake Power: Fireman,Adventure,DS,Ubisoft,Magic Pockets,N/A,0.47m,0.08m,0.34m,N/A,0.05m,10th Feb 09
Silent Hill: Shattered Memories,Adventure,Wii,Konami,Climax Group,N/A,0.47m,0.22m,0.19m,0.01m,0.05m,08th Dec 09
Life Is Strange: Before the Storm,Adventure,PC,Square Enix,Deck Nine,0.47m,N/A,N/A,N/A,N/A,N/A,31st Aug 17
Detective Pikachu,Adventure,3DS,Nintendo,Creatures Inc.,N/A,0.47m,0.15m,0.17m,0.12m,0.03m,23rd Mar 18
Pirates of the Caribbean: Dead Man's Chest,Adventure,GBA,Buena Vista,Amaze Entertainment,N/A,0.47m,0.33m,0.12m,N/A,0.01m,27th Jun 06
Metal Gear Solid: The Essential Collection,Adventure,PS2,Konami,Konami Computer Entertainment Japan,N/A,0.46m,0.23m,0.18m,N/A,0.06m,18th Mar 08
Harry Potter and the Order of the Phoenix,Adventure,Wii,Electronic Arts,EA UK,N/A,0.46m,0.38m,0.05m,N/A,0.04m,25th Jun 07
Destroy All Humans!,Adventure,XB,THQ,Pandemic Studios,N/A,0.46m,0.34m,0.11m,N/A,0.02m,21st Jun 05
Minecraft: Story Mode - The Complete Adventure,Adventure,NS,Telltale Games,Telltale Games,N/A,0.46m,0.27m,0.15m,N/A,0.04m,22nd Aug 17
The Golden Compass,Adventure,X360,Sega,Shiny Entertainment,N/A,0.46m,0.30m,0.12m,N/A,0.04m,04th Dec 07
Tomb Raider: Underworld,Adventure,Wii,Eidos Interactive,Crystal Dynamics,N/A,0.45m,0.13m,0.27m,N/A,0.05m,18th Nov 08
iCarly,Adventure,Wii,Activision,Blitz Games,N/A,0.45m,0.42m,0.00m,N/A,0.03m,27th Oct 09
American Girl: Kit Mystery Challenge!,Adventure,DS,THQ,"Webfoot Technologies, Inc.",N/A,0.45m,0.42m,N/A,N/A,0.03m,23rd Jun 08
Barbie as The Island Princess,Adventure,Wii,Activision,Human Soft / Ivolgamus,N/A,0.45m,0.42m,0.00m,N/A,0.03m,30th Oct 07
L.A. Noire,Adventure,NS,Rockstar Games,Team Bondi,N/A,0.45m,0.21m,0.21m,N/A,0.04m,14th Nov 17
Yakuza Kiwami,Adventure,PS4,Sega,Sega,N/A,0.45m,0.13m,0.07m,0.21m,0.04m,29th Aug 17
Sphinx and the Cursed Mummy,Adventure,PS2,THQ,Eurocom Entertainment Software,N/A,0.45m,0.22m,0.17m,N/A,0.06m,10th Nov 03
Pirates! Gold,Adventure,All,Microprose,MPS Labs,0.45m,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Scooby-Doo! Mystery Mayhem,Adventure,PS2,THQ,Artificial Mind and Movement,N/A,0.45m,0.22m,0.17m,N/A,0.06m,02nd Mar 04
The Thing,Adventure,PS2,VU Games,Computer Artworks,N/A,0.44m,0.22m,0.17m,N/A,0.06m,19th Aug 02
Superbrothers: Sword & Sworcery EP,Adventure,PC,Unknown,Capybara Games,0.44m,N/A,N/A,N/A,N/A,N/A,N/A
Neon Genesis Evangelion,Adventure,SAT,Sega,Gainax,N/A,0.44m,N/A,N/A,0.44m,N/A,01st Mar 96
SpongeBob's Atlantis SquarePantis,Adventure,PS2,THQ,Blitz Games,N/A,0.44m,0.36m,0.01m,N/A,0.06m,23rd Oct 07
Classic NES Series: Metroid,Adventure,GBA,Nintendo,Nintendo,N/A,0.43m,0.26m,0.10m,0.07m,0.01m,25th Oct 04
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,PS2,Buena Vista,Traveller's Tales,N/A,0.43m,0.36m,0.01m,N/A,0.06m,14th Nov 05
OkamiDen,Adventure,DS,Capcom,Capcom,N/A,0.43m,0.21m,0.07m,0.13m,0.02m,15th Mar 11
Zork: The Great Underground Empire,Adventure,PC,Infocom,"Infocom, Inc.",0.43m,N/A,N/A,N/A,N/A,N/A,01st Dec 82
Dog's Life,Adventure,PS2,Hip Interactive,Frontier Developments,N/A,0.42m,0.21m,0.16m,N/A,0.05m,14th Sep 04
The X Files,Adventure,PS,Fox Interactive,HyperBole Studios,N/A,0.42m,0.24m,0.16m,N/A,0.03m,30th Sep 99
Broken Age,Adventure,PC,Double Fine Productions,Double Fine Productions,0.42m,N/A,N/A,N/A,N/A,N/A,01st Jul 13
Harry Potter and the Goblet of Fire,Adventure,GC,Electronic Arts,Electronic Arts,N/A,0.42m,0.32m,0.08m,N/A,0.01m,08th Nov 05
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Wii,Capcom,Capcom,N/A,0.42m,0.18m,0.16m,0.03m,0.04m,23rd Oct 07
Mega Man Legends 2,Adventure,PS,Capcom,Capcom,N/A,0.42m,0.17m,0.12m,0.10m,0.03m,24th Oct 00
The Smurfs,Adventure,DS,Ubisoft,Ubisoft,N/A,0.41m,0.23m,0.14m,N/A,0.04m,19th Jul 11
Dexter's Laboratory Deesaster Strikes,Adventure,GBA,BAM! Entertainment,Virtucraft,N/A,0.41m,0.30m,0.11m,N/A,0.01m,26th Sep 01
Scooby-Doo and the Cyber Chase,Adventure,GBA,THQ,Software Creations,N/A,0.41m,0.30m,0.11m,N/A,0.01m,31st Dec 01
Marvel Super Hero Squad,Adventure,DS,THQ,Halfbrick Studios,N/A,0.41m,0.36m,0.02m,N/A,0.03m,20th Oct 09
E0: Enemy Zero,Adventure,SAT,Sega,Warp,N/A,0.41m,N/A,N/A,0.41m,0.00m,31st Oct 97
JumpStart: Escape from Adventure Island,Adventure,Wii,Knowledge Adventure,Knowledge Adventure Inc.,N/A,0.41m,0.38m,N/A,N/A,0.03m,17th Nov 09
Nicktoons: Unite!,Adventure,PS2,THQ,Blue Tongue,N/A,0.41m,0.34m,0.01m,N/A,0.06m,26th Oct 05
Boku no Natsuyasumi 2: Umi no Bouken Hen,Adventure,PS2,Sony Computer Entertainment,Millennium Kitchen,N/A,0.41m,N/A,N/A,0.41m,N/A,11th Jul 02
James Patterson Women's Murder Club: Games of Passion,Adventure,DS,THQ,Griptonite Games,N/A,0.41m,0.15m,0.22m,N/A,0.05m,22nd Sep 09
Up,Adventure,PSP,THQ,THQ,N/A,0.41m,0.24m,0.09m,N/A,0.07m,26th May 09
Eternal Darkness: Sanity's Requiem,Adventure,GC,Nintendo,Silicon Knights,0.40m,N/A,N/A,N/A,N/A,N/A,24th Jun 02
Overlord,Adventure,X360,Codemasters,Triumph Studios,N/A,0.40m,0.34m,0.03m,0.01m,0.03m,26th Jun 07
The Chronicles of Narnia: Prince Caspian,Adventure,PS2,Disney Interactive Studios,Traveller's Tales,N/A,0.40m,0.20m,0.15m,N/A,0.05m,15th May 08
"King's Quest VI: Heir Today, Gone Tomorrow",Adventure,All,Sierra Online,Sierra On-Line,0.40m,N/A,N/A,N/A,N/A,N/A,13th Oct 92
Outcast,Adventure,PC,Infogrames,Appeal,0.40m,N/A,N/A,N/A,N/A,N/A,01st Aug 99
The Hitchhiker's Guide to the Galaxy,Adventure,PC,Infocom,"Infocom, Inc.",0.40m,N/A,N/A,N/A,N/A,N/A,01st Jan 84
Under a Killing Moon,Adventure,PC,Access Software,Access Software,0.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 94
Boku no Natsuyasumi,Adventure,PS,Sony Computer Entertainment,Millennium Kitchen,N/A,0.40m,N/A,N/A,0.37m,0.03m,22nd Jun 00
Sherlock Holmes: The Mystery of the Mummy,Adventure,DS,Focus Home Interactive,Frogwares,N/A,0.40m,0.06m,0.30m,N/A,0.04m,14th Jul 09
Final Fantasy Crystal Chronicles: The Crystal Bearers,Adventure,Wii,Square Enix,Square Enix,N/A,0.39m,0.21m,0.08m,0.08m,0.03m,26th Dec 09
Chibi-Robo! Plug into Adventure!,Adventure,GC,Nintendo,skip Ltd.,N/A,0.39m,0.23m,0.06m,0.09m,0.01m,06th Feb 06
SpongeBob vs The Big One: Beach Party Cook Off,Adventure,DS,THQ,THQ,N/A,0.39m,0.24m,0.11m,N/A,0.04m,03rd Mar 09
Ghost Trick: Phantom Detective,Adventure,DS,Capcom,Capcom,N/A,0.38m,0.17m,0.08m,0.12m,0.02m,11th Jan 11
Final Fantasy Adventure,Adventure,GB,Square,Square,N/A,0.38m,N/A,N/A,0.38m,N/A,01st Nov 91
MediEvil II,Adventure,PS,Sony Computer Entertainment,SCEE,N/A,0.38m,0.21m,0.14m,N/A,0.02m,30th Apr 00
The Vanishing of Ethan Carter,Adventure,PC,The Astronauts,The Astronauts,0.38m,N/A,N/A,N/A,N/A,N/A,26th Sep 14
Pokémon Channel,Adventure,GC,Nintendo,Ambrella,N/A,0.38m,0.24m,0.06m,0.07m,0.01m,01st Dec 03
