Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
ARK Park,Adventure,PS4,Snail Games USA,Snail Games USA,N/A,0.05m,0.04m,N/A,N/A,0.01m,30th Oct 18
Koihime Musou,Adventure,PS2,Yeti,Yeti,N/A,0.05m,N/A,N/A,0.05m,N/A,20th Nov 08
Kekkon Zenya,Adventure,SAT,Shogakukan,Shogakukan Production,N/A,0.05m,N/A,N/A,0.05m,0.00m,27th Oct 95
Tokimeki Memorial: Girls Side 1st Love,Adventure,DS,Konami,Konami,N/A,0.05m,N/A,N/A,0.05m,N/A,15th Mar 07
Yomawari: Night Alone,Adventure,PSV,NIS America,Nippon Ichi Software,0.05m,N/A,N/A,N/A,N/A,N/A,25th Oct 16
Treasure Report: Kikai Jikake no Isan,Adventure,DS,Namco Bandai,Namco Bandai Games,N/A,0.05m,N/A,N/A,0.05m,N/A,26th May 11
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PC,LucasArts,Traveller's Tales,N/A,0.05m,0.02m,0.03m,N/A,0.01m,17th Nov 09
Detective Conan: Marionette Symphony,Adventure,3DS,Namco Bandai Games,Bandai Namco Games,N/A,0.05m,N/A,N/A,0.05m,N/A,25th Apr 13
M&M's Adventure,Adventure,DS,Zoo Digital Publishing,Nikitova Games,N/A,0.05m,0.04m,N/A,N/A,0.00m,02nd Dec 08
Batman: The Enemy Within,Adventure,XOne,Telltale Games,Telltale Games,N/A,0.05m,0.04m,N/A,N/A,0.01m,03rd Oct 17
Wii de Asobu Chibi-Robo!,Adventure,Wii,Nintendo,skip Ltd.,N/A,0.05m,N/A,N/A,0.05m,N/A,11th Jun 09
To Heart 2 DX Plus,Adventure,PS3,Aquaplus,Aquaplus,N/A,0.05m,N/A,N/A,0.05m,N/A,22nd Sep 11
Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,Adventure,PSP,Namco Bandai,Namco Bandai Games,N/A,0.05m,N/A,N/A,0.05m,N/A,03rd Mar 11
Snoopy vs the Red Baron,Adventure,PSP,Namco Bandai,Smart Bomb Interactive,N/A,0.05m,0.04m,N/A,N/A,0.00m,24th Oct 06
Crusader: No Remorse,Adventure,PS,Electronic Arts,Realtime Associates,N/A,0.05m,0.03m,0.02m,N/A,0.00m,31st Dec 96
King's Quest: The Complete Collection,Adventure,XOne,Activision,The Odd Gentlemen,N/A,0.05m,0.04m,N/A,N/A,0.01m,24th Oct 16
Time Travelers,Adventure,PSV,Level 5,Level 5,N/A,0.05m,N/A,N/A,0.05m,N/A,12th Jul 12
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,Adventure,PSV,ChunSoft,ChunSoft,N/A,0.05m,N/A,N/A,0.05m,N/A,17th Dec 11
Hiiro no Kakera DS,Adventure,DS,Idea Factory,Idea Factory,N/A,0.05m,N/A,N/A,0.05m,N/A,22nd May 08
Arcana Famiglia: La storia della Aracana Famiglia,Adventure,PSP,Comfort,Comfort,N/A,0.05m,N/A,N/A,0.05m,N/A,27th Oct 11
Jake Hunter Detective Story: Ghost of the Dusk,Adventure,3DS,Aksys Games,Arc System Works,N/A,0.05m,0.03m,N/A,0.01m,0.00m,28th Sep 18
The Misadventures of Tron Bonne,Adventure,PS,Capcom,Capcom,N/A,0.05m,0.03m,0.02m,N/A,0.00m,30th Apr 00
March of the Penguins,Adventure,DS,DSI Games,DSI Games,N/A,0.05m,0.04m,0.00m,N/A,0.00m,27th Nov 06
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,Adventure,PS4,NIS America,Toybox Games,N/A,0.05m,0.04m,N/A,N/A,0.01m,20th Sep 16
Beyond Zork: The Coconut of Quendor,Adventure,PC,Infocom,Infocom,0.05m,N/A,N/A,N/A,N/A,N/A,15th Sep 87
Lux-Pain,Adventure,DS,Ignition Entertainment,Killaware,N/A,0.05m,0.04m,0.00m,N/A,0.00m,24th Mar 09
